market,slug,clobID,closingDate,outcome,probability7d,probability6d,probability5d,probability4d,probability3d,probability2d,probability1d,volume
Fed emergency rate cut in 2024?,fed-emergency-rate-cut-in-2024,10414314798079334516792355449090565739762052554849865995220910336252938136478,2024-12-31T12:00:00Z,True,0.994,0.9935,0.995,0.996,0.997,0.9975,0.998,835804.641916001
Yoon out as president of South Korea in 2024?,yoon-out-as-president-of-south-korea-in-2024,97904928837541277470411364272387000644281033536642793218925390129245053125278,2024-12-31T12:00:00Z,True,0.9845,0.9745,0.976,0.9885,0.989,0.9925,0.99,8436634.21764899
U.S. Recession in 2024?,us-recession-in-2024-1,7199924557536673982836049841538041571403060582795466550710959952259572350257,2024-12-31T12:00:00Z,True,0.993,0.9945,0.9935,0.994,0.9955,0.995,0.996,875848.13851399
Global heat increase greater than 1.30°C for 2024?,global-heat-increase-greater-than-1pt30c-for-2024,4096904918691388819154068514730430984468252716491899226646882112520537976022,2024-12-31T12:00:00Z,True,0.982,0.989,0.9955,0.988,0.9815,0.9825,0.9775,939019.081285
Global heat increase between 1.22°C and 1.24°C for 2024?,global-heat-increase-between-1pt22c-and-1pt24c-for-2024,71430415501780528981858693916579753122145365682336047444167804228315828454731,2024-12-31T12:00:00Z,True,0.998,0.998,0.9985,0.998,0.998,0.997,0.998,9466873.29085309
Will Trump be Speaker by January 1?,will-trump-be-speaker-by-january-1,90762671961607378550984019509208138759337675332878404135192412949437732331915,2025-01-01T12:00:00Z,True,0.996,0.9975,0.998,0.997,0.9965,0.9975,0.998,2771363.653742
No Israel x Hamas ceasefire in 2024?,next-israel-x-hamas-ceasefire-not-in-2024,41248677391516436501520443748383894699563681344034127905029783553952611928088,2025-01-01T12:00:00Z,True,0.915,0.935,0.945,0.9555,0.977,0.9905,0.9945,617817.708213
Will Chris Dobey win the 2024-25 PDC World Championship?,will-chris-dobey-win-the-2024-25-pdc-world-championship,111795211167357669440483318670241982222692221516481694019805703789510510031130,2025-01-03T12:00:00Z,True,0.9735,0.9635,0.9645,0.9615,0.95,0.955,0.9339999999999999,137148.188129
Will Michael Van Gerwen win the 2024-25 PDC World Championship?,will-michael-van-gerwen-win-the-2024-25-pdc-world-championship,97225998330070782822229137009558636296891731289453818600701141471029831303789,2025-01-03T12:00:00Z,True,0.88,0.87,0.855,0.855,0.825,0.8200000000000001,0.735,163976.637888
Will Luke Littler win the 2024-25 PDC World Championship?,will-luke-littler-win-the-2024-25-pdc-world-championship,86736755967331005927466273042201670452511978508400141206851409233630655830593,2025-01-03T12:00:00Z,False,0.605,0.615,0.63,0.565,0.505,0.525,0.585,210004.477621
Will Jesse Eisenberg win the Golden Globe for Best Actor in a Movie - Musical or Comedy?,will-jesse-eisenberg-win-the-golden-globe-for-best-actor-in-a-movie-musical-or-comedy,51310110724540715333294438818266791418024080982824899699788799911473272996989,2025-01-05T12:00:00Z,True,0.55,0.54,0.56,0.5349999999999999,0.545,0.52,0.51,212204.888018
Election certified on January 6?,us-presidential-election-certified-on-january-6,5690379412844472378491285614065764289522424365063615941331551001296177725370,2025-01-06T12:00:00Z,True,0.9825,0.976,0.9805,0.9945,0.9755,0.998,0.9825,3696192.229365
Will Trump attend Jimmy Carter's state funeral?,will-trump-attend-jimmy-carters-state-funeral,68246657816083446183217486370245007296622898583473252200238484834674660845566,2025-01-09T12:00:00Z,True,0.9855,0.9765,0.98,0.9795,0.9835,0.9975,0.9925,165138.190563
Will 'Wicked' gross more than $500 million domestically by January 9?,will-wicked-gross-more-than-500-million-domestically-by-january-9,30862933614695212800760872239343375584540569196403179089351780635703306973094,2025-01-09T12:00:00Z,True,0.9965,0.9985,0.998,0.9985,0.9985,0.9995,0.9985,3614988.223684
Will US add more than 300k jobs in December 2024?,will-us-add-more-than-300k-jobs-in-december-2024,53051558802850738375216268622112393647080442751369684842555630919599256323309,2025-01-10T12:00:00Z,True,0.9795,0.9795,0.98,0.988,0.9925,0.99,0.9835,144806.720867
SpaceX 7th Starship Super Heavy blows up?,spacex-7th-starship-super-heavy-blows-up,99745380803464500594175081688705960841221401284973627042782536167522491114067,2025-01-15T12:00:00Z,True,0.76,0.77,0.79,0.775,0.775,0.765,0.775,130191.747445
East coast port strike in January?,east-coast-port-strike-in-january,64806890300676350503662972192830911141328386364210414248499635638705748129051,2025-01-15T12:00:00Z,True,0.525,0.615,0.9825,0.9855,0.984,0.98,0.9855,159747.737643
SpaceX Flight 7 launch before February 2025?,spacex-flight-7-launch-before-february-2025,78970915270866372234444797637059532968950443356671683063611609441516250500799,2025-01-15T12:00:00Z,True,0.9855,0.976,0.9835,0.9855,0.9835,0.9875,0.982,304785.424737
Chopsticks catch SpaceX's 7th Starship Super Heavy?,will-the-chopsticks-catch-spacexs-7th-starship-super-heavy,61483472850218480976000734365998853862933715563288210443423933372088031305965,2025-01-15T12:00:00Z,True,0.705,0.705,0.675,0.635,0.655,0.64,0.615,430029.386057
Will Supreme Court delay the Tiktok ban?,will-supreme-court-delay-the-tiktok-ban,87663159764074291126484432051989103760606348332148045516643390838498125894612,2025-01-19T12:00:00Z,True,0.76,0.735,0.73,0.74,0.72,0.675,0.979,337644.36114
Debt ceiling abolished before Trump inauguration?,debt-ceiling-abolished-before-trump-inauguration,55791643433431991121672451354833013780738115234067556008308447749608178729931,2025-01-19T12:00:00Z,True,0.995,0.9965,0.9975,0.995,0.9955,0.9965,0.995,344513.055115
Sotomayor steps down from Supreme Court before inauguration?,will-sotomayor-retire-from-scotus-before-inauguration,115374854236443705858617050550250797722754736350254631797126798794716490582528,2025-01-19T12:00:00Z,True,0.996,0.9955,0.9945,0.995,0.9905,0.9975,0.995,482637.382581
Debt ceiling raised or suspended by inauguration?,debt-ceiling-raisedsuspended-before-trump-inauguration,106502016969046937974758355420390684163100926155029166159441000067476621763798,2025-01-19T12:00:00Z,True,0.987,0.993,0.9875,0.993,0.9885,0.995,0.988,491946.931418
Hamas leadership out of Qatar before Trump in office?,hamas-out-of-qatar-before-trump-in-office,3104166254383330012024851822087024259277042461289325895451097638592265779362,2025-01-19T12:00:00Z,True,0.9815,0.974,0.948,0.949,0.9635,0.962,0.9705,802134.984773
Will Biden resign before inauguration?,will-biden-resign-before-inauguration,105171045940147111034206421043564489569802860746801119632861021726475976866751,2025-01-19T12:00:00Z,True,0.994,0.9965,0.9965,0.994,0.9975,0.9985,0.9975,847931.146089
Trump in jail before inauguration? ,trump-in-jail-before-inauguration,22164935783833801268301623059243185023640262147784975979512760326184393690431,2025-01-19T12:00:00Z,True,0.9975,0.995,0.9965,0.9965,0.995,0.997,0.995,884413.035046
Will Alexandria Ocasio-Cortez attend presidential inauguration?,will-alexandria-ocasio-cortez-attend-presidential-inauguration,5557335471688611239901329958462262760789822563837808351181910201334292292828,2025-01-20T12:00:00Z,True,0.54,0.54,0.95,0.9765,0.9765,0.98,0.9805,102658.395053
Will Bill Clinton attend presidential inauguration?,will-bill-clinton-attend-presidential-inauguration,95569577287799913620466523916203287477993167023148422338886384062076242245657,2025-01-20T12:00:00Z,True,0.9565,0.957,0.9835,0.9835,0.979,0.9575,0.987,105425.451933
Will 41-44 people watch Trump inauguration?,will-41-44-people-watch-trump-inauguration,41119264598602905893259786328534356341520442058832871385382136805008604003248,2025-01-20T12:00:00Z,True,0.9555,0.9685,0.955,0.9545,0.9595,0.9545,0.954,132622.947549
Will Biden pardon Ross Ulbricht?,will-biden-pardon-ross-ulbricht,85857311729373773343343144604975744791651623282152621707917199507651143164586,2025-01-20T12:00:00Z,True,0.968,0.973,0.9795,0.967,0.9815,0.977,0.969,1401484.693197
Will Hillary Clinton attend presidential inauguration?,will-hillary-clinton-attend-presidential-inauguration,5786825096447467017878156269394255639316340021562138985349284692625494330463,2025-01-20T12:00:00Z,True,0.879,0.878,0.977,0.978,0.974,0.9355,0.9555,144481.737357
Will Xi Jinping attend presidential inauguration?,will-xi-jinping-attend-presidential-inauguration,99220647323461296015245362042234366341132204208350546114812627465810434965599,2025-01-20T12:00:00Z,True,0.992,0.9935,0.9955,0.997,0.9925,0.994,0.9985,1460457.21779
Will Nancy Pelosi attend presidential inauguration?,will-nancy-pelosi-attend-presidential-inauguration,22804837133898664910490176310589502424734114520358833398438305278908847535097,2025-01-20T12:00:00Z,False,0.74,0.755,0.77,0.565,0.985,0.954,0.9945,152285.864953
